6005903915,Deposit,2100.0,N/A,2100.0
6005903915,Deposit,5000.0,N/A,5000.0
5964839826,Deposit,50000.0,N/A,50000.0
5964839826,Transfer,10000.0,6005903915,40000.0
8909898529,Deposit,20000000.0,N/A,20000000.0
8909898529,Withdrawal,100000.0,N/A,19900000.0
8909898529,Deposit,50000.0,N/A,50000.0
8909898529,Deposit,200000.0,N/A,200000.0
4503214339,Deposit,500000.0,N/A,500000.0
4503214339,Transfer,5000.0,8909898529,495000.0
4503214339,Transfer,5000.0,8909898529,490000.0
4503214339,Deposit,10000000.0,N/A,10000000.0
4503214339,Deposit,200000.0,N/A,200000.0
4503214339,Transfer,5000.0,8909898529,195000.0
4503214339,Transfer,5000.0,8909898529,190000.0
